Sample Accession	Sample ID	Tax Id	Scientific Name	Common Name	collection date	geographic location (country and/or sea)	lat lon	latitudeN	longitudeE
SAMEA9923757	UmAsp_202.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.809300 N 20.334530 E	63.8093	20.33453
SAMEA9923759	UmAsp_207	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.810340 N 20.383990 E	63.81034	20.38399
SAMEA9923758	UmAsp_207.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.812260 N 20.392070 E	63.81226	20.39207
SAMEA9923760	UmAsp_208	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.815900 N 20.412050 E	63.8159	20.41205
SAMEA9923761	UmAsp_209	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.818400 N 20.444540 E	63.8184	20.44454
SAMEA9923763	UmAsp_213	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.820620 N 20.450100 E	63.82062	20.4501
SAMEA9923762	UmAsp_213.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.821930 N 20.451470 E	63.82193	20.45147
SAMEA9923764	UmAsp_214	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.822560 N 20.452880 E	63.82256	20.45288
SAMEA9923765	UmAsp_218	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.823940 N 20.455100 E	63.82394	20.4551
SAMEA9923766	UmAsp_220	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.832280 N 20.467040 E	63.83228	20.46704
SAMEA9923767	UmAsp_221	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.833110 N 20.467880 E	63.83311	20.46788
SAMEA9923769	UmAsp_222	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.837010 N 20.480940 E	63.83701	20.48094
SAMEA9923768	UmAsp_222.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.838590 N 20.491120 E	63.83859	20.49112
SAMEA9923770	UmAsp_223	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.843120 N 20.510380 E	63.84312	20.51038
SAMEA9923771	UmAsp_225	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.845060 N 20.518710 E	63.84506	20.51871
SAMEA9923772	UmAsp_226.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.846900 N 20.523680 E	63.8469	20.52368
SAMEA9923773	UmAsp_227	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.853110 N 20.536480 E	63.85311	20.53648
SAMEA9923774	UmAsp_228	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.853390 N 20.536490 E	63.85339	20.53649
SAMEA9923775	UmAsp_229	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.854510 N 20.537880 E	63.85451	20.53788
SAMEA9923776	UmAsp_230	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.856450 N 20.540390 E	63.85645	20.54039
SAMEA9923777	UmAsp_231	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.863950 N 20.543160 E	63.86395	20.54316
SAMEA9923779	UmAsp_232	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.864510 N 20.542880 E	63.86451	20.54288
SAMEA9923778	UmAsp_232.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.865200 N 20.542610 E	63.8652	20.54261
SAMEA9923780	UmAsp_233	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923782	UmAsp_233.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.867290 N 20.541210 E	63.86729	20.54121
SAMEA9923781	UmAsp_233.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.873660 N 20.539860 E	63.87366	20.53986
SAMEA9923785	UmAsp_234	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.889220 N 20.531210 E	63.88922	20.53121
SAMEA9923783	UmAsp_234.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.897080 N 20.538330 E	63.89708	20.53833
SAMEA9923784	UmAsp_234.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.898620 N 20.542480 E	63.89862	20.54248
SAMEA9923786	UmAsp_235	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.897280 N 20.565110 E	63.89728	20.56511
SAMEA9923787	UmAsp_236	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.889790 N 20.576220 E	63.88979	20.57622
SAMEA9923788	UmAsp_237	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.889790 N 20.575380 E	63.88979	20.57538
SAMEA9923790	UmAsp_238	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.843950 N 20.601760 E	63.84395	20.60176
SAMEA9923789	UmAsp_238.1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.842870 N 20.602050 E	63.84287	20.60205
SAMEA9923791	UmAsp_240	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.835330 N 20.600950 E	63.83533	20.60095
SAMEA9923792	UmAsp_241	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.809230 N 20.582320 E	63.80923	20.58232
SAMEA9923793	UmAsp_242	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.805890 N 20.580370 E	63.80589	20.58037
SAMEA9923794	UmAsp_243	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.827010 N 20.590390 E	63.82701	20.59039
SAMEA9923796	UmAsp_244	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.836170 N 20.612610 E	63.83617	20.61261
SAMEA9923795	UmAsp_244.2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.828060 N 20.632420 E	63.82806	20.63242
